Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
03-02-2010,Infinite Comp,189.8,48.44,106.02,11.08,165,178.35,184.51,11.82,473.75,187.12
08-02-2010,Jubilant Food,328.7,59.39,51.95,3.79,145,160,114.5,-21.03,2997.15,1967
15-02-2010,Syncom Health,56.25,0.99,16.6,6.25,75,88,87.85,17.13,4.06,-94.59
15-02-2010,Vascon Engineer,199.8,1.12,3.65,0.62,165,155.9,146.38,-11.28,26.5,-83.94
19-02-2010,Thangamayil,0,0.52,1.52,2.26,75,70,71.1,-5.2,1115,1386.67
23-02-2010,Aqua Logistics,150,0.26,5.07,3,220,225,24.46,-88.88,1.4,-99.36
24-02-2010,DB Realty,1500,1.35,1.21,0.01,468,452.1,455.4,-2.69,107.6,-77.01
24-02-2010,Emmbi Ind,43.08,0.43,5.55,0.46,45,46,28.65,-36.33,101.45,125.44
25-02-2010,Hathway Cable,735.4,1.43,4.29,0.28,240,246,41.56,-82.68,19.6,-91.83
03-03-2010,ARSS Infra,103,49.34,124.53,18.55,450,640,736.3,63.62,31.95,-92.9
10-03-2010,Texmo Pipes,45,1.02,30.5,7.26,90,92.8,137.25,52.5,78.8,-12.44
11-03-2010,Man Infra,142,96.06,104.57,10.26,252,335,46.43,-81.58,112.05,-55.54
18-03-2010,United Bank,330,47.08,39.15,9.8,66,77,68.8,4.24,4.48,-93.21
29-03-2010,DQ Entertain,128.38,93.86,272.88,19.45,80,135,108.55,35.69,1.03,-98.71
30-03-2010,ILandFS Trans,700,52.61,39.39,4.56,258,287,253.68,-1.67,5.17,-98
05-04-2010,Pradip Overseas,116.6,8.57,45.35,10.53,110,120,89.29,-18.83,1.14,-98.96
06-04-2010,Persistent,168.01,144.43,107.73,21.69,310,400,204,-34.19,3858.3,1144.61
09-04-2010,Shree Ganesh,385.29,1.38,6.13,1.39,260,258.85,163.25,-37.21,0.82,-99.68
12-04-2010,Intrasoft Tech,53.65,21.97,21.6,13.51,145,140,159.35,9.9,214.15,47.69
16-04-2010,Goenka Diamond,145,0.78,2.99,0.66,135,130,12.79,-90.53,3.17,-97.65
10-05-2010,Talwalkars Fitn,77.44,35.43,51.48,8.43,128,138,162.6,27.03,1.45,-98.87
13-05-2010,NEL HOLDINGS SO,405,2.54,0.22,0.16,54,50,50.95,-5.65,4.09,-92.43
18-05-2010,Tarapur Trans,63.75,0.03,5.08,2.74,75,75,56.9,-24.13,4.99,-93.35
19-05-2010,GB Global,107.9,7.97,10.52,2.81,130,131,133.65,2.81,9.8,-92.46
20-05-2010,SJVN,1079,9.03,3.39,3.12,26,27.1,25.05,-3.65,30.3,16.54
21-05-2010,Jaypee Infra,1650,1.77,1.15,0.61,102,98,91.3,-10.49,3.4,-96.67
01-07-2010,Parabolic Drugs,200,1.48,1.2,0.4,75,76,64.8,-13.6,5.7,-92.4
16-07-2010,Technofab Engg,71.76,4.28,48.85,10.03,240,265,295.65,23.19,6.85,-97.15
21-07-2010,Hindustan Media,270,8.98,3.39,1,166,177.95,189.2,13.98,69.25,-58.28
28-07-2010,Shri Aster,53.1,0.01,12.46,7.41,118,127.7,199.1,68.73,1.28,-98.92
16-08-2010,Bharat Fin,1653.97,20.38,18.26,2.81,985,1036,1088.58,10.52,898.2,-8.81
18-08-2010,Bajaj Consumer ,297,20.19,53.49,6.62,660,730,151.65,-77.02,172.75,-73.83
25-08-2010,Prakash Steelag,68.75,1.27,10.91,6.62,110,118.55,18.8,-82.91,6.31,-94.26
09-09-2010,Gujarat Pipavav,500,13.2,85.7,9.15,46,56.25,54.05,17.5,92.5,101.09
29-09-2010,Indosolar,357,1.44,1.3,1.81,29,29.75,23.7,-18.28,4.21,-85.48
01-10-2010,Tirupati Inks,51.5,1.78,23.18,12.59,43,53.95,36.65,-14.77,1.59,-96.3
05-10-2010,Sasta Sundar,147.5,5.91,35.88,11.04,118,135.1,110.9,-6.02,407,244.92
06-10-2010,Career Point,115,47.45,101.93,31.74,310,461,632.35,103.98,117.05,-62.24
06-10-2010,Eros Intl,350,25.79,73.4,11.95,175,213.55,190.05,8.6,27.4,-84.34
08-10-2010,Electrosteel St,0,5.86,28.58,6.19,11,11.15,11.25,2.27,31.05,182.27
08-10-2010,Orient Green,900,2.09,0.64,0.18,47,45.7,44.9,-4.47,13.35,-71.6
08-10-2010,Ramky Infra,530,4.52,1.45,0.99,450,450,387.35,-13.92,220.15,-51.08
12-10-2010,Cantabil Retail,105,1.71,3.83,2.63,135,133.8,104.75,-22.41,909.35,573.59
12-10-2010,Tecpro Systems,268.03,27.99,62.48,9.07,355,399.4,407.85,14.89,4.53,-98.72
13-10-2010,Va Tech Wabag,472.6,36.13,100.98,8.55,1310,1655,341.88,-73.9,318.5,-75.69
14-10-2010,Sea TV Network,50.2,1.66,40.94,7.45,100,120,106,6,5.25,-94.75
14-10-2010,Ashoka Buildcon,225,25.52,13.91,3.46,324,333.55,73.33,-77.37,96.7,-70.15
14-10-2010,Bedmutha Ind,91.8,0.67,29.19,8.51,102,114.4,180.8,77.25,75.95,-25.54
18-10-2010,Commercial Eng,172.41,3.68,0.34,0.38,127,122.8,112.25,-11.61,42.6,-66.46
20-10-2010,Oberoi Realty,1028.61,22.15,3.61,0.94,260,280,282.95,8.83,892.6,243.31
27-10-2010,Prestige Estate,1200,4.32,0.24,0.08,183,190,192.55,5.22,446,143.72
27-10-2010,BS Limited,197.36,0.52,3.16,1.04,248,251,18.93,-92.37,0.33,-99.87
27-10-2010,Gyscoal Alloys,54.67,1.54,33.44,8,71,76.6,8.16,-88.51,4.51,-93.65
04-11-2010,Coal India,15475,24.7,25.4,2.31,245,300,342.35,39.73,167.25,-31.73
16-11-2010,Gravita India,45,6.04,182.52,37.34,125,218.75,42.08,-66.34,371.4,197.12
06-12-2010,RPP Infra Proj,48.75,0.16,7.27,5.6,75,75,52,-30.67,51.7,-31.07
15-12-2010,MOIL,1260,0,0,0,375,551,233.25,-37.8,176.2,-53.01
20-12-2010,Claris Life,300,1.31,2.03,1.6,228,224.4,205.85,-9.71,396.55,73.93
23-12-2010,A2Z Infra Eng,675,0.7,4.25,0.33,400,390,328.9,-17.78,9.67,-97.58
30-12-2010,Punjab & Sind,480,49.8,22.91,8.38,120,146.1,127.05,5.87,16.35,-86.38
20-01-2011,C Mahendra Expo,165,1.02,3.92,4.82,110,111,55.43,-49.61,1.79,-98.37
10-02-2011,Omkar Special,79.38,0.82,5.27,9.9,98,95,46.2,-52.86,31.75,-67.6
10-03-2011,Acropetal Tech,170,1.12,2,1.21,90,130,98.45,9.39,1.67,-98.14
11-03-2011,Sudar Ind,69.98,0.17,4.47,2.27,77,74,113.1,46.88,1.02,-98.68
11-03-2011,Fineotex Chem,30.32,0,0.22,4.38,70,80,14.09,-79.87,167.6,139.43
24-03-2011,Lovable Lingeri,93.28,21.87,99.87,20.84,205,261.5,249.2,21.56,143.3,-30.1
30-03-2011,PTC India Fin,438.76,2.85,0.22,1.18,28,28,24.9,-11.07,17.6,-37.14
08-04-2011,Shilpi Cable,55.88,1.04,6.39,5.74,69,78.35,23.8,-65.51,1.1,-98.41
06-05-2011,Muthoot Finance,901.25,25.01,60.94,8.5,175,176.45,176.25,0.71,1327.1,658.34
09-05-2011,Paramount Print,45.83,0.33,3.28,9.31,35,35,26.65,-23.86,0.82,-97.66
10-05-2011,Future Consumer,750,0.26,7.81,0.61,10,9.5,8.3,-17,6.98,-30.2
12-05-2011,Servalakshmi,60,0.34,4.21,1.9,29,30,19,-34.48,1.33,-95.41
13-05-2011,Innoventive Ind,219.58,0.85,1.94,1.48,117,110,93.6,-20,4.2,-96.41
23-05-2011,Sanghvi Forging,36.9,0,1.82,2.93,85,88,111.75,31.47,16.5,-80.59
